postcode,state,long,lat
1585,NSW,151.20085,-33.83459
1590,NSW,151.468652,-33.292001
1595,NSW,151.187955,-33.791875
1597,NSW,151.187955,-33.791875
1602,NSW,151.166,-33.8148
1630,NSW,151.099812,-33.707684
1635,NSW,151.101,-33.7046
1639,NSW,151.246751,-33.793137
1640,NSW,151.246751,-33.793137
1655,NSW,151.505125,-33.329799
1658,NSW,151.216799,-33.698773
1660,NSW,151.216799,-33.698773
1670,NSW,151.12,-33.7932
1675,NSW,151.139681,-33.833033
1680,NSW,151.137807,-33.761498
1685,NSW,151.09064,-33.80406
1700,NSW,151.206982,-33.950299
1710,NSW,151.116696,-33.78417
1715,NSW,151.049106,-33.758433
1730,NSW,150.966912,-33.760263
1740,NSW,151.139472,-33.886166
1741,NSW,151.139472,-33.886166
1750,NSW,151.023102,-33.857053
1755,NSW,150.968177,-33.767239
1765,NSW,151.030535,-33.735906
1771,NSW,151.049106,-33.758433
1781,NSW,150.932,-33.7779
1790,NSW,151.19554,-33.859047
1800,NSW,151.124008,-33.887602
1805,NSW,151.10082,-33.891556
1811,NSW,151.051375,-33.82328
1819,NSW,151.093326,-33.877139
1825,NSW,151.044768,-33.872483
1830,NSW,150.948582,-33.859289
1831,NSW,150.948582,-33.859289
1835,NSW,151.023796,-33.883928
1851,NSW,150.911,-33.8498
1860,NSW,150.961124,-33.850457
1871,NSW,151.103632,-33.888327
1875,NSW,150.92236,-33.954639
1885,NSW,151.024581,-33.907417
1888,NSW,151.024581,-33.907417
1890,NSW,150.802088,-33.960035
1891,NSW,151.000183,-33.932221
2000,NSW,151.2015802,-33.86051951
2001,NSW,151.268071,-33.794883
2002,NSW,151.2069237,-33.8771211
2004,NSW,151.19,-33.908
2006,NSW,151.186507,-33.889219
2007,NSW,151.19665,-33.883189
2008,NSW,151.193858,-33.891146
2009,NSW,151.193055,-33.871222
2010,NSW,151.212262,-33.884119
2011,NSW,151.221626,-33.873599
2012,NSW,150.931838,-33.726098
2013,NSW,150.931838,-33.726098
2015,NSW,151.194825,-33.910105
2016,NSW,151.206211,-33.894912
2017,NSW,151.206316,-33.903892
2018,NSW,151.202697,-33.9233
2019,NSW,151.207285,-33.946923
2020,NSW,151.176775,-33.936179
2021,NSW,151.227236,-33.895705
2022,NSW,151.245049,-33.896401
2023,NSW,151.25591,-33.884685
2024,NSW,151.259392,-33.904414
2025,NSW,151.240508,-33.88871
2026,NSW,151.268968,-33.891041
2027,NSW,151.250494,-33.868972
2028,NSW,151.240965,-33.878413
2029,NSW,151.266989,-33.875709
2030,NSW,151.275977,-33.858378
2031,NSW,151.239167,-33.914832
2032,NSW,151.223936,-33.930314
2033,NSW,151.218435,-33.91139
2034,NSW,151.252171,-33.929096
2035,NSW,151.241292,-33.945635
2036,NSW,151.237844,-33.969624
2037,NSW,151.184458,-33.880179
2038,NSW,151.170165,-33.881624
2039,NSW,151.171915,-33.867187
2040,NSW,151.156819,-33.878774
2041,NSW,151.180095,-33.858556
2042,NSW,151.175354,-33.900649
2043,NSW,151.184665,-33.903521
2044,NSW,151.17074,-33.920698
2045,NSW,151.138684,-33.879301
2046,NSW,151.133865,-33.866044
2047,NSW,151.165735,-33.853924
2048,NSW,151.16564,-33.89418
2049,NSW,151.15085,-33.897219
2050,NSW,151.17598,-33.89037
2052,NSW,151.234417,-33.906561
2055,NSW,151.104935,-33.802837
2057,NSW,151.1899,-33.791988
2058,NSW,146.921,-31.2532
2059,NSW,151.104935,-33.802837
2060,NSW,151.204557,-33.839863
2061,NSW,151.212372,-33.848785
2062,NSW,151.21246,-33.822837
2063,NSW,151.214797,-33.812636
2064,NSW,151.183801,-33.813209
2065,NSW,151.192212,-33.828361
2066,NSW,151.160912,-33.818641
2067,NSW,151.17711,-33.798378
2068,NSW,151.202715,-33.800881
2069,NSW,151.195368,-33.780246
2070,NSW,151.162007,-33.78042
2071,NSW,151.1814551,-33.75536381
2072,NSW,151.153176,-33.754582
2073,NSW,151.130278,-33.757296
2074,NSW,151.123716,-33.735222
2075,NSW,151.16729,-33.723693
2076,NSW,151.108249,-33.723263
2077,NSW,151.097508,-33.691922
2079,NSW,151.112681,-33.666637
2080,NSW,151.143563,-33.658174
2081,NSW,151.150498,-33.619756
2082,NSW,151.138709,-33.54620871
2083,NSW,151.194452,-33.525322
2084,NSW,151.216929,-33.650999
2085,NSW,151.211719,-33.728782
2086,NSW,151.229211,-33.75185
2087,NSW,151.210531,-33.766093
2088,NSW,151.243351,-33.830687
2089,NSW,151.2228263,-33.84149573
2090,NSW,151.223094,-33.828949
2091,NSW,151.261,-33.8279
2092,NSW,151.241813,-33.796636
2093,NSW,151.258069,-33.79315
2094,NSW,151.273242,-33.795227
2095,NSW,151.294675,-33.815482
2096,NSW,151.28494,-33.776781
2097,NSW,151.297895,-33.739577
2099,NSW,151.279999,-33.748914
2100,NSW,151.257781,-33.766409
2101,NSW,151.27114,-33.707117
2102,NSW,151.290953,-33.689941
2103,NSW,151.302825,-33.679336
2104,NSW,151.290921,-33.664921
2105,NSW,151.278293,-33.642202
2106,NSW,151.314599,-33.660707
2107,NSW,151.323289,-33.634816
2108,NSW,151.322759,-33.60382
2109,NSW,151.113473,-33.771558
2110,NSW,151.149126,-33.836102
2111,NSW,151.124488,-33.829953
2112,NSW,151.108447,-33.81658
2113,NSW,151.130233,-33.79419
2114,NSW,151.084181,-33.810991
2115,NSW,151.059845,-33.813106
2116,NSW,151.036941,-33.814368
2117,NSW,151.04218,-33.797127
2118,NSW,151.043518,-33.775596
2119,NSW,151.064176,-33.755499
2120,NSW,151.07359,-33.731105
2121,NSW,151.079919,-33.774145
2122,NSW,151.092072,-33.791357
2123,NSW,150.999575,-33.815446
2124,NSW,151.139472,-33.886166
